OID_,Id,gridcode,Shape_Length,Shape_Area,CH_mean,ARVI_mean,ARVI_med,ARVI_max,EVI_mean,EVI_med,EVI_max,NDVI_mean,NDVI_med,NDVI_max,SAVI_mean,SAVI_med,SAVI_max,Veg_class
3,3,3,11.200000002980232,2.429999998845160,0.0133333,0.1193382,0.0907581,0.2374125,0.2102265,0.1876760,0.2708991,0.3046480,0.2793008,0.3936301,0.2147704,0.1937355,0.2657419,woody
4,4,4,10.200000002980232,2.750000000186264,0.1233333,0.2653125,0.2060953,0.4047699,0.2842363,0.2531694,0.3502518,0.4212419,0.3749267,0.5228307,0.2806409,0.2576295,0.3338665,woody
5,5,5,14.000000001862645,4.599999999348074,0.0150000,0.3628288,0.3500858,0.4644282,0.3070553,0.3056628,0.3612615,0.4857786,0.4773820,0.5604807,0.2960651,0.2953905,0.3406413,woody
6,6,6,16.800000008195639,6.349999999348074,0.0140000,0.2778259,0.3036089,0.3916767,0.2700453,0.2602028,0.3102008,0.4251652,0.4365526,0.5016302,0.2671323,0.2643009,0.2966360,woody
7,7,7,12.199999999254942,3.040000000260771,0.0100000,0.1351101,0.1351101,0.1606325,0.2304233,0.2304233,0.2533890,0.3290817,0.3290817,0.3514735,0.2390813,0.2390813,0.2606615,woody
8,8,8,33.799999991431832,12.019999997615814,0.0300000,0.2382689,0.2558990,0.4201815,0.2605140,0.2518061,0.3341474,0.3997416,0.4043117,0.5281730,0.2602588,0.2489382,0.3209730,woody
9,9,9,14.800000002607703,5.739999999981373,0.0100000,0.2539857,0.2630088,0.4170704,0.2719710,0.2734873,0.3449262,0.4063507,0.4130828,0.5212918,0.2668890,0.2682479,0.3241147,woody
10,10,10,1503.999999949708581,1075.189999997839323,0.0156320,-0.0112301,-0.0333588,0.3914957,0.1494022,0.1361619,0.3667049,0.2096152,0.1915364,0.5110652,0.1637185,0.1521776,0.3444706,non-woody
11,11,11,45.399999994784594,15.350000001862645,0.0123077,0.2839831,0.3200921,0.3830800,0.2835568,0.3051040,0.3524221,0.4329311,0.4593280,0.5106303,0.2787240,0.2958040,0.3372471,woody
12,12,12,11.399999991059303,2.160000000484287,0.0200000,0.1762893,0.1762893,0.1762893,0.2387778,0.2387778,0.2387778,0.3547315,0.3547315,0.3547315,0.2428074,0.2428074,0.2428074,woody
13,13,13,17.599999990314245,5.069999999571591,0.0150000,0.3726662,0.3699422,0.4131134,0.3343670,0.3353913,0.3470743,0.4941535,0.4930372,0.5213656,0.3179278,0.3186260,0.3277453,woody
14,14,14,16.600000001490116,4.730000001080334,0.0150000,0.2873559,0.3189569,0.4692160,0.2843197,0.2995936,0.3632761,0.4309415,0.4567829,0.5567316,0.2768569,0.2904737,0.3381875,woody
15,15,15,20.400000002235174,4.820000000316649,0.0125000,0.1514487,0.1607364,0.2556340,0.2425133,0.2497075,0.2986338,0.3435345,0.3528045,0.4202837,0.2499338,0.2561550,0.2987442,non-woody
16,16,16,13.799999995157123,4.970000000223518,0.0200000,0.3079812,0.3025323,0.4079383,0.2990297,0.2810526,0.3545912,0.4478862,0.4424564,0.5183741,0.2899961,0.2749911,0.3331111,woody
17,17,17,11.199999993667006,3.460000000391156,0.0125000,0.1872782,0.1532643,0.2923340,0.2416425,0.2413164,0.2689238,0.3643090,0.3444352,0.4324557,0.2463393,0.2497385,0.2638811,woody
18,18,18,17.199999995529652,3.079999999310821,0.0150000,0.3954784,0.3954784,0.4577085,0.3145682,0.3145682,0.3436867,0.5069947,0.5069947,0.5473581,0.3013287,0.3013287,0.3228572,woody
19,19,19,24.199999999254942,3.769999999757856,0.0150000,0.1278826,0.1278826,0.1535985,0.2271866,0.2271866,0.2448962,0.3203174,0.3203174,0.3413635,0.2345973,0.2345973,0.2505519,woody
20,20,20,18.599999997764826,4.589999998770653,0.0133333,0.2645021,0.2658172,0.3393100,0.2864173,0.2809148,0.3124240,0.4203161,0.4177820,0.4738663,0.2824880,0.2757379,0.3027243,woody
21,21,21,9.999999996274710,2.150000000465661,0.0150000,0.1162667,0.1162667,0.2005689,0.1979984,0.1979984,0.2403861,0.3053403,0.3053403,0.3669249,0.2050794,0.2050794,0.2409695,woody
22,22,22,28.000000000000000,7.420000000316650,0.0157143,0.1848161,0.2361995,0.2915593,0.2457351,0.2743131,0.3122619,0.3594046,0.4011262,0.4413020,0.2475637,0.2719967,0.3035135,woody
23,23,23,27.199999989941716,7.270000000037252,0.0140000,0.1471613,0.0761150,0.2954852,0.2321340,0.1950432,0.3040227,0.3360093,0.2841231,0.4428940,0.2388215,0.2085600,0.2962547,non-woody
24,24,24,14.599999995902181,2.699999999068678,0.0100000,0.1498144,0.1498144,0.2267942,0.2168075,0.2168075,0.2373072,0.3352641,0.3352641,0.3860813,0.2248139,0.2248139,0.2382770,woody
25,25,25,8.799999997019768,2.029999999962747,0.0100000,0.2621030,0.2621030,0.2621030,0.2801494,0.2801494,0.2801494,0.4188266,0.4188266,0.4188266,0.2772051,0.2772051,0.2772051,woody
26,26,26,23.199999997392297,8.180000000521540,0.0150000,0.1813327,0.1984544,0.3414914,0.2307882,0.2319136,0.3071125,0.3544948,0.3649186,0.4739240,0.2333882,0.2335660,0.2977475,woody
27,27,27,16.999999998137355,3.229999999869615,0.0166667,0.2078398,0.2315204,0.2897763,0.2461039,0.2371915,0.2994060,0.3736853,0.3861583,0.4367074,0.2463424,0.2366329,0.2913865,woody
28,28,28,12.399999992921948,2.369999999199063,0.0133333,0.0975718,0.1545436,0.1744586,0.2020216,0.2251184,0.2578482,0.2934546,0.3462037,0.3475315,0.2100640,0.2275072,0.2651929,woody
29,29,29,14.000000000000000,3.620000000223517,0.0166667,0.2893122,0.3261313,0.3519362,0.3216933,0.3395879,0.3513169,0.4478083,0.4751835,0.4894156,0.3162909,0.3306555,0.3368874,woody
30,30,30,17.000000000000000,5.720000000596047,0.0120000,0.3626243,0.3537481,0.4394216,0.3419308,0.3496946,0.3733910,0.4954414,0.4949837,0.5492262,0.3289546,0.3314868,0.3529260,woody
31,31,31,18.600000001490116,3.480000000521541,0.0150000,0.1220700,0.1220700,0.2043886,0.2110210,0.2110210,0.2616108,0.3146609,0.3146609,0.3791695,0.2188329,0.2188329,0.2638588,non-woody
32,32,32,21.599999995902181,5.619999998733402,0.0133333,0.2604227,0.2623784,0.4584896,0.2738207,0.2752623,0.3773560,0.4124060,0.4146842,0.5540240,0.2683841,0.2705764,0.3508972,woody
33,33,33,11.399999998509884,4.349999999348074,0.0200000,0.3297856,0.3444922,0.3623931,0.3198510,0.3231919,0.3475782,0.4691005,0.4769230,0.4953230,0.3095858,0.3107484,0.3330472,woody
34,34,34,18.800000008195639,4.830000000894070,0.0125000,0.2173607,0.2044434,0.3240111,0.2636578,0.2654964,0.3000824,0.3872179,0.3785967,0.4562682,0.2645877,0.2638406,0.2949792,woody
35,35,35,22.800000002607703,8.699999998603015,0.0122222,0.2206355,0.2115447,0.4391505,0.2684854,0.2560533,0.3956534,0.3896485,0.3828678,0.5469068,0.2682419,0.2597177,0.3678313,woody
36,36,36,16.399999992921948,3.430000001080334,0.0150000,0.2328587,0.2328587,0.2858860,0.2540117,0.2540117,0.2797037,0.3936449,0.3936449,0.4329694,0.2536784,0.2536784,0.2751452,woody
37,37,37,9.399999992921948,2.000000000558793,0.0200000,0.1384030,0.1384030,0.1384030,0.2390635,0.2390635,0.2390635,0.3307293,0.3307293,0.3307293,0.2463165,0.2463165,0.2463165,woody
38,38,38,53.199999999254942,16.419999999012798,0.0162500,0.2773171,0.2659425,0.4798767,0.2988925,0.2923538,0.4418391,0.4299378,0.4261444,0.5777896,0.2921231,0.2857680,0.4062613,woody
39,39,39,14.800000000745058,5.019999999850988,0.0125000,0.3084307,0.3049284,0.3995028,0.2957515,0.2944816,0.3477509,0.4544678,0.4494087,0.5215262,0.2907424,0.2910940,0.3333541,woody
40,40,40,9.399999998509884,2.479999999590218,0.0150000,0.1975274,0.1975274,0.2205610,0.2455725,0.2455725,0.2585234,0.3753869,0.3753869,0.3902816,0.2508270,0.2508270,0.2605696,woody
41,41,41,11.200000004842877,4.270000001154840,0.0166667,0.3168473,0.3634067,0.4222446,0.3309402,0.3583358,0.4152858,0.4595128,0.4976921,0.5394971,0.3169337,0.3423359,0.3848913,woody
42,42,42,15.000000001862645,3.890000000447035,0.0133333,0.2703702,0.2478266,0.3222505,0.3095970,0.2935373,0.3430207,0.4278950,0.4091096,0.4708284,0.3027475,0.2917227,0.3323342,woody
43,43,43,20.800000002607703,8.670000000409782,0.0150000,0.3374912,0.3642663,0.4602935,0.3222793,0.3122253,0.3806335,0.4748007,0.4876857,0.5600441,0.3122650,0.3014030,0.3587345,woody
44,44,44,13.199999997392297,4.590000000167638,0.0120000,0.2079764,0.2170114,0.4256253,0.2613599,0.2907696,0.3587418,0.3824331,0.4000057,0.5366004,0.2637505,0.2900408,0.3399872,woody
45,45,45,11.599999992176890,3.380000000707805,0.0200000,0.3384969,0.3384969,0.3384969,0.3049756,0.3049756,0.3049756,0.4770227,0.4770227,0.4770227,0.2988954,0.2988954,0.2988954,woody
