OID_,Id,gridcode,Shape_Length,Shape_Area,CH_mean,ARVI_mean,ARVI_med,ARVI_max,EVI_mean,EVI_med,EVI_max,NDVI_mean,NDVI_med,NDVI_max,SAVI_mean,SAVI_med,SAVI_max,Veg_class
2,2,2,15.999999996274710,4.789999998118729,0.0100000,0.2239619,0.2268956,0.2391613,0.2732359,0.2743935,0.3078851,0.4021310,0.4060659,0.4276356,0.2787820,0.2802848,0.3169954,woody
3,3,3,8.600000001490116,2.239999999795109,0.0100000,0.2878217,0.2878217,0.3163841,0.3021934,0.3021934,0.3059057,0.4483253,0.4483253,0.4692590,0.3014070,0.3014070,0.3042244,woody
4,4,4,27.800000002607703,11.119999998733402,0.0125000,0.2892358,0.3130737,0.4596711,0.3001998,0.3186207,0.3746409,0.4474704,0.4662193,0.5707865,0.2987976,0.3144286,0.3583024,woody
5,5,5,24.200000004842877,10.619999999944120,0.0600000,0.3302551,0.3759861,0.4982503,0.3131739,0.3356014,0.3863687,0.4775959,0.5171357,0.5989658,0.3095343,0.3258862,0.3687655,woody
6,6,6,17.400000000372529,6.099999999906868,0.0120000,0.2758001,0.3415259,0.4162942,0.2641119,0.2802677,0.3148407,0.4315746,0.4877910,0.5186141,0.2663523,0.2736290,0.3121457,woody
7,7,7,9.200000002980232,2.630000000149011,0.0000000,0.1802041,0.1802041,0.1802041,0.2300496,0.2300496,0.2300496,0.3511178,0.3511178,0.3511178,0.2319830,0.2319830,0.2319830,woody
8,8,8,1316.799999991431832,1197.550000005774109,0.0108086,0.0382401,0.0157940,0.4150527,0.1775116,0.1690513,0.3600157,0.2504377,0.2356173,0.5359234,0.1908524,0.1841208,0.3449418,non-woody
9,9,9,11.600000001490116,4.949999999348075,0.0150000,0.2319591,0.2598830,0.4083453,0.2528116,0.2576659,0.3239343,0.3912160,0.4101993,0.5142327,0.2525437,0.2557910,0.3106613,woody
10,10,10,14.399999991059303,4.899999999534339,0.0025000,0.3118779,0.3489017,0.3704443,0.2880244,0.2956740,0.3277069,0.4540748,0.4793637,0.4979536,0.2832083,0.2888809,0.3159261,woody
11,11,11,19.999999990686774,7.229999999776483,0.0133333,0.2986771,0.3043308,0.5673470,0.3082968,0.3157108,0.4277432,0.4530773,0.4638717,0.6377595,0.3046466,0.3142383,0.3950335,woody
12,12,12,9.999999996274710,3.579999999403953,0.0133333,0.3249328,0.3117822,0.4415149,0.3186211,0.3240528,0.3821960,0.4753159,0.4706724,0.5616723,0.3143083,0.3220579,0.3665688,woody
13,13,13,8.800000000745058,2.979999998938292,0.0050000,0.1930884,0.1784915,0.3658936,0.2457691,0.2448111,0.3045592,0.3703484,0.3621422,0.4934368,0.2508213,0.2511629,0.2970546,woody
14,14,14,37.599999994039536,12.309999998807907,0.0100000,0.2410330,0.2720375,0.4451146,0.2684624,0.2882351,0.3288685,0.4089765,0.4386673,0.5503073,0.2716381,0.2905041,0.3220944,woody
15,15,15,11.200000002980232,2.939999999608844,0.0200000,0.1999397,0.1999397,0.3163214,0.2519055,0.2519055,0.2913564,0.3808268,0.3808268,0.4638943,0.2592252,0.2592252,0.2893445,woody
16,16,16,22.999999996274710,7.320000000689179,0.0100000,0.1734394,0.1677951,0.2775289,0.2394473,0.2413879,0.2812372,0.3589526,0.3572762,0.4356121,0.2470663,0.2509666,0.2810577,woody
17,17,17,32.400000015273690,8.739999999050051,0.0114286,0.2009887,0.2349398,0.3802187,0.2568624,0.2710119,0.3711761,0.3810023,0.4099730,0.5239646,0.2619757,0.2759894,0.3633039,woody
18,18,18,9.199999999254942,2.429999999683350,0.0133333,0.1925108,0.1898831,0.2074403,0.2505726,0.2606101,0.2635803,0.3773445,0.3806136,0.3898068,0.2585039,0.2702484,0.2703727,woody
19,19,19,15.999999994412065,5.609999999739229,0.0100000,0.2552101,0.3072757,0.4313630,0.2802639,0.3003070,0.3719499,0.4153957,0.4568354,0.5449513,0.2777075,0.2963908,0.3526101,woody
20,20,20,15.400000002235174,4.099999999813736,0.0100000,0.2053521,0.2883159,0.3428357,0.2593827,0.3098162,0.3161819,0.3825561,0.4516947,0.4817881,0.2631650,0.3036874,0.3147157,woody
21,21,21,10.800000004470348,2.939999999329448,0.0133333,0.2512702,0.2609277,0.3272877,0.2610067,0.2806291,0.2813015,0.4082040,0.4198895,0.4640801,0.2601862,0.2767201,0.2792251,woody
22,22,22,13.000000001862645,2.729999999403954,0.0150000,0.1533324,0.1533324,0.2523508,0.2538488,0.2538488,0.3034950,0.3534242,0.3534242,0.4289468,0.2658013,0.2658013,0.3071496,woody
