OID_,Id,gridcode,Shape_Length,Shape_Area,CH_mean,ARVI_mean,ARVI_med,ARVI_max,EVI_mean,EVI_med,EVI_max,NDVI_mean,NDVI_med,NDVI_max,SAVI_mean,SAVI_med,SAVI_max,Veg_class
2,2,2,20.4,2.38,1,0.2739452,0.2739452,0.2739452,0.3232573,0.3232573,0.3232573,0.4282076,0.4282076,0.4282076,0.3119361,0.3119361,0.3119361,woody
3,3,3,8.199999997,1.32,1,0.5301565,0.5301565,0.5301565,0.4605134,0.4605134,0.4605134,0.6117452,0.6117452,0.6117452,0.4164922,0.4164922,0.4164922,woody
4,4,4,55.80000002,24.43,0.92,0.4779786,0.5010128,0.6167071,0.3810952,0.384718,0.4473038,0.5764366,0.5966378,0.6737674,0.3597857,0.3643169,0.4141734,woody
5,5,5,15.2,1.879999999,1,0.3429445,0.3429445,0.3429445,0.3467138,0.3467138,0.3467138,0.4687382,0.4687382,0.4687382,0.3239069,0.3239069,0.3239069,woody
6,6,6,27.2,9.290000001,0.1428571,0.044382,-0.0089029,0.2655362,0.181714,0.1473906,0.3156839,0.2235223,0.1786291,0.4120302,0.177739,0.1473251,0.2993111,non-woody
7,7,7,70.60000002,23.33,0.8095238,0.4488328,0.538399,0.6161118,0.3874731,0.4292376,0.5068711,0.5485746,0.6193154,0.6754438,0.3594864,0.3925081,0.4541524,woody
8,8,8,7.199999996,1.28,1,0.6244072,0.6244072,0.6244072,0.5118095,0.5118095,0.5118095,0.680126,0.680126,0.680126,0.4569972,0.4569972,0.4569972,woody
9,9,9,11.8,1.75,0,0.200353,0.200353,0.200353,0.3120275,0.3120275,0.3120275,0.3640636,0.3640636,0.3640636,0.296071,0.296071,0.296071,non-woody
10,10,10,12.6,1.739999999,0.3333333,0.2017112,0.1405116,0.3495016,0.2689362,0.2481181,0.3189757,0.3517673,0.3044559,0.4686459,0.2550683,0.2366861,0.3007296,woody
11,11,11,8.800000003,2.750000001,0.5,0.4031302,0.4031302,0.5254744,0.3089143,0.3089143,0.3453067,0.4872206,0.4872206,0.5692403,0.2852711,0.2852711,0.3136575,woody
12,12,12,38.60000002,12.71,0.25,0.0444824,0.0216711,0.2332995,0.1797155,0.1708582,0.283493,0.2244256,0.2053585,0.3834333,0.1769058,0.1688064,0.2713588,non-woody
13,13,13,17.4,5.559999998,0.8,0.3864267,0.3690399,0.5085481,0.3569744,0.3460806,0.4192351,0.5018748,0.4867097,0.597843,0.3338046,0.323549,0.3878879,woody
14,14,14,13.8,2.380000001,1,0.4099492,0.421805,0.4397902,0.3815352,0.3656484,0.4353309,0.5295913,0.5368541,0.5587351,0.3592823,0.3469087,0.4048154,woody
15,15,15,16.20000001,4.550000001,0.75,0.4835982,0.528289,0.5693398,0.398082,0.3875185,0.4587777,0.5763026,0.6090037,0.6331781,0.3700441,0.3627797,0.4153047,woody
16,16,16,14.59999999,2.499999999,0.5,0.4467154,0.4467154,0.6120782,0.3971646,0.3971646,0.5130398,0.5374428,0.5374428,0.6598055,0.3582559,0.3582559,0.4479966,woody
17,17,17,7.599999996,1.070000001,1,0.5969496,0.5969496,0.5969496,0.4049788,0.4049788,0.4049788,0.6430589,,0.6430589,0.3710431,0.3710431,0.3710431,woody
18,18,18,18.60000001,4.770000001,1,0.4607393,0.4753422,0.5450401,0.4042894,0.3794131,0.4755752,0.5640987,0.6430589,0.6320086,0.3760461,0.3577983,0.4348523,woody
19,19,19,19.8,2.5,1,0.5143204,0.5143204,0.5143204,0.4640486,0.4640486,0.4640486,0.6103467,0.5740439,0.6103467,0.4258592,0.4258592,0.4258592,woody
20,20,20,66,28.79,1,0.6583024,0.6699012,0.7392117,0.499832,0.4985907,0.6103746,0.7080302,0.6103467,0.7715475,0.4537196,0.4537861,0.5394971,woody
21,21,21,9.6,1.749999999,0.5,0.1198839,0.1198839,0.1199114,0.2453001,0.2453001,0.2456387,0.3042472,0.7103412,0.3042802,0.2443261,0.2443261,0.2446417,non-woody
22,22,22,13.8,1.890000001,,,,,,,,,0.3042472,,,,,
23,23,23,7.400000002,1.130000001,,,,,,,,,,,,,,
24,24,24,19.6,2.509999999,1,0.1611757,0.1611757,0.1611757,0.26064,0.26064,0.26064,0.3242917,,0.3242917,0.2493524,0.2493524,0.2493524,non-woody
25,25,25,28,13.06,0.2,0.0707747,0.0339134,0.3366783,0.208509,0.1888974,0.3800554,0.2459973,0.3242917,0.474586,0.2012171,0.184056,0.3555129,non-woody
26,26,26,12.00000001,2.67,1,0.2516444,0.2633227,0.3989632,0.2840233,0.3044581,0.3536378,0.3982267,0.215761,0.519213,0.2730134,0.2909582,0.3366539,woody
27,27,27,14,2.56,0,0.6470776,0.6470776,0.6470776,0.5410878,0.5410878,0.5410878,0.7047346,0.4106401,0.7047346,0.4846156,0.4846156,0.4846156,woody
28,28,28,10.6,1.400000001,0.5,0.0326645,0.0326645,0.0864014,0.1498828,0.1498828,0.176511,0.2084028,0.7047346,0.2534716,0.1490969,0.1490969,0.1740154,woody
29,29,29,20.20000001,2.469999999,1,0.5381348,0.5381348,0.5727485,0.3860152,0.3860152,0.386325,0.6194309,0.2084028,0.6428334,0.3651011,0.3651011,0.3657888,woody
30,30,30,23,2.500000001,1,0.461641,0.461641,0.461641,0.4378252,0.4378252,0.4378252,0.5747133,0.6194309,0.5747133,0.4073048,0.4073048,0.4073048,woody
31,31,31,22.4,7.400000002,1,0.4860467,0.4990385,0.5725222,0.3849516,0.3694706,0.4264074,0.5721949,0.5747133,0.6367891,0.3565799,0.3466434,0.3877496,woody
32,32,32,11.2,1.279999999,0,0.1188562,0.1188562,0.1188562,0.2271771,0.2271771,0.2271771,0.2874384,0.5830585,0.2874384,0.2197651,0.2197651,0.2197651,non-woody
33,33,33,151.8,65.91999999,0.85,0.4956094,0.5196021,0.6465527,0.388535,0.3951387,0.4810354,0.5872761,0.2874384,0.6997418,0.3646157,0.3722669,0.4424151,woody
34,34,34,13.60000001,1.37,1,0.2843433,0.2843433,0.2843433,0.3215469,0.3215469,0.3215469,0.4280477,0.6035708,0.4280477,0.3054717,0.3054717,0.3054717,woody
35,35,35,7.400000004,1.14,1,0.4097279,0.4097279,0.4097279,0.3822617,0.3822617,0.3822617,0.5293382,0.4280477,0.5293382,0.3597789,0.3597789,0.3597789,woody
36,36,36,12.20000001,2.41,1,0.6093108,0.6093108,0.6093108,0.460118,0.460118,0.460118,0.6808077,0.5293382,0.6808077,0.428641,0.428641,0.428641,woody
