iter	Logloss
0	0.6621352286
1	0.6364360305
2	0.6151144352
3	0.5973676574
4	0.5803763336
5	0.5672759434
6	0.5559616377
7	0.5457354851
8	0.5367984412
9	0.5294859688
10	0.5227364018
11	0.5171410902
12	0.511978898
13	0.5081635097
14	0.5039400497
15	0.5009539334
16	0.4971106187
17	0.4946062196
18	0.4924092995
19	0.4902321869
20	0.4880439614
21	0.4864349941
22	0.4849346809
23	0.4834774377
24	0.4820552898
25	0.4801888232
26	0.4790050291
27	0.4773806878
28	0.476376717
29	0.4754009895
30	0.4744831589
31	0.4727209703
32	0.4719672437
33	0.4712814619
34	0.4707553216
35	0.4702374152
36	0.4690495041
37	0.4679221387
38	0.4671367141
39	0.4666659949
40	0.4658436613
41	0.46528185
42	0.4647879547
43	0.4642211338
44	0.4635089802
45	0.4632731024
46	0.4623376522
47	0.4617572425
48	0.4613606291
49	0.4608325023
50	0.4601927271
51	0.459834088
52	0.4593082644
53	0.4586311772
54	0.4584393771
55	0.4579120564
56	0.4574939656
57	0.4571063923
58	0.4565442067
59	0.4560625184
60	0.4553961412
61	0.4545986823
62	0.4542836603
63	0.4535428605
64	0.452859785
65	0.4522339155
66	0.4518632997
67	0.4515312627
68	0.4510800919
69	0.4505372821
70	0.4500125237
71	0.4497093057
72	0.4495106535
73	0.4488020699
74	0.4483582119
75	0.4482587706
76	0.4477790401
77	0.4473396157
78	0.446622136
79	0.4462856077
80	0.4458055028
81	0.4456624157
82	0.4454850395
83	0.4446751433
84	0.4441996736
85	0.4435533344
86	0.4433550853
87	0.4431174512
88	0.4427325267
89	0.4422028739
90	0.4421481726
91	0.4411868689
92	0.4409655589
93	0.440085501
94	0.4391734285
95	0.4390789392
96	0.438946015
97	0.4383802306
98	0.4379672068
99	0.4379068051
