iter	Passed	Remaining
0	2	205
1	3	191
2	5	189
3	7	181
4	9	178
5	11	178
6	13	175
7	14	172
8	16	169
9	18	168
10	20	168
11	22	167
12	24	165
13	26	163
14	28	162
15	30	159
16	32	157
17	34	156
18	36	153
19	37	151
20	39	149
21	41	146
22	43	144
23	44	142
24	46	139
25	48	138
26	50	135
27	51	133
28	53	131
29	55	129
30	57	127
31	58	125
32	60	123
33	62	120
34	64	119
35	65	117
36	67	115
37	69	113
38	71	111
39	72	109
40	74	107
41	76	105
42	78	103
43	79	101
44	81	99
45	83	97
46	85	96
47	86	94
48	88	92
49	90	90
50	91	88
51	93	86
52	95	84
53	97	82
54	98	80
55	100	78
56	102	77
57	103	75
58	105	73
59	107	71
60	109	69
61	110	68
62	112	66
63	114	64
64	116	62
65	117	60
66	119	59
67	121	57
68	123	55
69	124	53
70	126	51
71	128	49
72	130	48
73	131	46
74	133	44
75	135	42
76	137	40
77	139	39
78	140	37
79	142	35
80	144	33
81	145	32
82	147	30
83	149	28
84	151	26
85	152	24
86	154	23
87	155	21
88	157	19
89	158	17
90	160	15
91	161	14
92	163	12
93	164	10
94	165	8
95	166	6
96	168	5
97	169	3
98	170	1
99	171	0
