STATION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
BOX,1922,-9999,-9999,-9999,-9999,-9999,30,284,272,192,46,0,57,,,
DESST,1922,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,38,0,58,,,
ERIOP,1922,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,64,0,64,,,
FLORI,1922,-9999,-9999,-9999,-9999,-9999,41,388,324,79,43,0,123,,,
FORES,1922,-9999,-9999,-9999,-9999,-9999,40,479,406,81,55,0,178,,,
HUERF,1922,-9999,-9999,-9999,-9999,-9999,29,419,388,109,93,0,65,,,
MUHLE,1922,-9999,-9999,-9999,-9999,-9999,20,317,266,141,42,0,48,,,
NE,1922,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,47,0,48,,,
NW,1922,-9999,-9999,-9999,-9999,-9999,0,293,370,66,33,0,56,,,
PARKE,1922,-9999,-9999,-9999,-9999,-9999,0,386,417,105,0,104,80,,,
ROAD,1922,-9999,-9999,-9999,-9999,-9999,30,383,512,74,36,0,67,,,
ROBIN,1922,-9999,-9999,-9999,-9999,-9999,40,364,403,178,38,0,104,,,
RODEN,1922,-9999,-9999,-9999,-9999,-9999,30,284,537,60,32,0,65,,,
SW,1922,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,48,,,
WHITE,1922,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,52,124,10,,,
BOX,1923,0,30,35,9,0,0,583,315,70,0,335,187,,,
DESST,1923,0,26,61,0,0,0,274,426,130,0,281,133,,,
ERIOP,1923,0,51,49,22,0,0,479,337,67,0,300,178,,,
FLORI,1923,0,47,87,66,0,0,784,636,33,0,619,360,,,
FORES,1923,0,62,124,74,0,0,731,734,46,0,495,305,,,
HUERF,1923,0,53,53,7,0,0,453,463,26,0,351,192,,,
MUHLE,1923,0,31,37,0,0,0,393,447,208,0,290,151,,,
NE,1923,0,33,39,28,0,0,301,441,44,0,227,124,,,
NW,1923,0,24,39,0,0,0,215,398,36,0,187,108,,,
PARKE,1923,12,152,61,78,0,0,674,652,0,0,580,400,,,
ROAD,1923,-9999,50,52,41,0,0,568,588,66,0,385,173,,,
ROBIN,1923,0,55,60,0,0,0,507,538,47,0,402,180,,,
RODEN,1923,0,63,54,44,0,0,642,548,61,0,340,92,,,
SW,1923,0,30,48,27,0,0,626,434,89,0,197,118,,,
WHITE,1923,0,54,116,40,0,0,724,635,75,0,439,232,,,
BOX,1924,0,0,270,72,0,12,320,133,48,0,50,31,,,
DESST,1924,0,0,237,80,0,9,185,98,0,0,0,148,,,
ERIOP,1924,0,0,264,38,0,18,464,82,47,40,22,158,,,
FLORI,1924,30,1,372,135,0,20,277,227,9,3,33,147,,,
FORES,1924,12,0,316,97,0,20,149,201,0,0,27,147,,,
HUERF,1924,0,0,297,52,0,11,442,134,0,0,30,132,,,
MUHLE,1924,0,0,286,64,0,10,187,143,0,0,0,168,,,
NE,1924,0,0,259,35,0,25,209,254,0,0,28,137,,,
NW,1924,0,0,227,61,0,8,125,41,0,0,0,104,,,
PARKE,1924,30,0,318,45,0,14,395,273,35,0,55,142,,,
ROAD,1924,0,0,312,54,0,15,214,134,77,0,38,119,,,
ROBIN,1924,0,0,245,34,0,15,399,220,18,0,61,90,,,
RODEN,1924,0,0,285,43,0,14,227,122,31,0,0,153,,,
RUELA,1924,0,0,205,27,0,16,355,220,0,0,40,84,,,
SW,1924,15,0,285,38,0,18,335,109,0,0,24,110,,,
WHITE,1924,0,0,374,72,0,21,191,173,0,0,25,135,,,
BOX,1925,0,0,17,35,0,87,209,393,94,123,189,50,,,
DESST,1925,0,0,20,47,0,210,151,281,118,136,197,44,,,
ERIOP,1925,0,0,10,27,0,99,187,339,108,136,175,48,,,
FLORI,1925,16,0,68,58,26,201,504,72,83,174,185,80,,,
FORES,1925,0,0,48,49,0,234,172,177,85,143,172,84,,,
HUERF,1925,0,0,10,34,0,105,172,424,171,148,181,55,,,
MUHLE,1925,0,0,11,47,0,177,192,320,136,137,185,46,,,
NE,1925,0,0,6,55,0,187,50,232,192,54,213,50,,,
NW,1925,0,0,4,43,0,85,193,150,160,145,179,29,,,
PARKE,1925,15,0,0,40,0,136,379,323,109,179,190,105,,,
ROAD,1925,0,0,13,50,0,150,214,274,214,157,152,64,,,
ROBIN,1925,0,0,40,40,0,143,255,574,134,185,165,50,,,
RODEN,1925,0,0,10,31,0,127,267,323,118,145,155,54,,,
RUELA,1925,0,0,0,39,0,80,237,570,145,90,235,43,,,
SW,1925,0,0,8,28,0,106,357,465,127,131,192,38,,,
WHITE,1925,0,0,27,28,0,120,138,311,63,156,135,70,,,
BOX,1926,130,100,180,127,0,8,259,34,369,57,0,262,,,
DESST,1926,107,79,196,142,17,5,197,82,360,113,0,208,,,
ERIOP,1926,112,94,223,106,17,5,244,45,374,154,0,188,,,
FLORI,1926,209,119,236,169,57,33,396,217,595,86,0,452,,,
FORES,1926,164,97,203,143,41,22,347,225,499,149,0,338,,,
HUERF,1926,144,116,262,151,6,6,395,126,424,170,0,270,,,
MUHLE,1926,126,101,210,132,13,5,218,153,423,180,0,209,,,
NE,1926,153,70,188,126,20,3,239,109,240,38,0,241,,,
NW,1926,66,56,109,124,40,3,190,106,355,59,0,164,,,
PARKE,1926,184,100,203,168,15,70,379,137,330,60,0,406,,,
ROAD,1926,102,97,157,121,24,10,244,245,439,82,0,230,,,
ROBIN,1926,154,118,226,177,17,29,317,65,408,268,0,297,,,
RODEN,1926,96,88,144,98,20,3,217,161,412,100,0,214,,,
RUELA,1926,137,118,225,190,0,5,272,132,412,225,0,225,,,
SW,1926,116,129,162,136,4,8,169,138,516,87,0,200,,,
WHITE,1926,123,85,180,157,18,15,240,185,435,35,0,248,,,
BOX,1927,18,112,98,37,0,16,124,498,214,13,29,226,,,
